gen	neutral	del	ben
656 	 1146.88 	 98.094 	 147.905
657 	 1149.04 	 98.404 	 148.04
658 	 1151.32 	 98.158 	 148.475
659 	 1151.81 	 98.034 	 148.724
660 	 1153.59 	 98.326 	 149.116
661 	 1156.01 	 98.526 	 149.59
662 	 1157.23 	 98.575 	 149.973
663 	 1159.38 	 98.192 	 150.519
664 	 1161.67 	 98.502 	 150.937
665 	 1164.1 	 98.797 	 151.317
666 	 1166.35 	 99.096 	 151.906
667 	 1166.78 	 98.997 	 152.303
668 	 1167.97 	 99.377 	 152.761
669 	 1168.57 	 99.381 	 153.25
670 	 1170.51 	 99.321 	 153.826
671 	 1172.98 	 99.526 	 154.27
672 	 1174.95 	 99.919 	 154.406
673 	 1177.74 	 100.426 	 154.896
674 	 1179.44 	 100.614 	 155.227
675 	 1180.43 	 100.456 	 155.593
676 	 1182.42 	 100.63 	 155.8
677 	 1184.48 	 101.26 	 156.332
678 	 1186.88 	 100.998 	 156.543
679 	 1188.81 	 100.967 	 157.029
680 	 1191.09 	 101.296 	 157.379
681 	 1193.22 	 101.251 	 157.568
682 	 1194.79 	 101.357 	 157.893
683 	 1196.85 	 101.145 	 158.451
684 	 1198.84 	 101.404 	 158.778
685 	 1200.78 	 101.667 	 159.049
686 	 1202.37 	 101.39 	 159.148
687 	 1204.56 	 101.697 	 159.517
688 	 1206.92 	 101.815 	 159.628
689 	 1208.46 	 102.069 	 159.937
690 	 1208.59 	 102.393 	 160.285
